Month,VisitorType,Weekend,Revenue,BounceRates,ExitRates,ProductRelated,PageValues,TrafficType
Feb,Returning_Visitor,False,False,0.2,0.2,1,0.0,1
Feb,Returning_Visitor,False,False,0.0,0.1,2,0.0,2
Feb,Returning_Visitor,False,False,0.2,0.2,1,0.0,3
Feb,Returning_Visitor,False,False,0.05,0.14,2,0.0,4
Feb,Returning_Visitor,True,False,0.02,0.05,10,0.0,4
Feb,Returning_Visitor,False,False,0.015789474,0.024561404,19,0.0,3
Feb,Returning_Visitor,False,False,0.2,0.2,1,0.0,3
Feb,Returning_Visitor,True,False,0.2,0.2,0,0.0,5
Feb,Returning_Visitor,False,False,0.0,0.1,2,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.022222222,3,0.0,2
Feb,Returning_Visitor,False,False,0.0,0.066666667,3,0.0,3
Feb,Returning_Visitor,False,False,0.01875,0.025833333,16,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.028571429,7,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.066666667,6,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.1,2,0.0,3
Feb,Returning_Visitor,False,False,0.008333333,0.016312636,23,0.0,3
Feb,Returning_Visitor,False,False,0.2,0.2,1,0.0,3
Feb,Returning_Visitor,True,False,0.0,0.007692308,13,0.0,4
Feb,Returning_Visitor,False,False,0.0,0.1,2,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.01,20,0.0,4
Feb,Returning_Visitor,True,False,0.0,0.008333333,8,0.0,1
Feb,Returning_Visitor,False,False,0.2,0.2,2,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.033333333,3,0.0,5
Feb,Returning_Visitor,False,False,0.0,0.1,2,0.0,3
Feb,Returning_Visitor,True,False,0.2,0.2,1,0.0,1
Feb,Returning_Visitor,False,False,0.0,0.04,5,0.0,3
Feb,Returning_Visitor,False,False,0.002857143,0.00952381,32,0.0,3
Feb,Returning_Visitor,False,False,0.05,0.1,4,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.05,4,0.0,3
Feb,Returning_Visitor,False,False,0.043478261,0.050821256,45,54.17976426,1
Feb,Returning_Visitor,False,False,0.0,0.1,2,0.0,3
Feb,Returning_Visitor,True,False,0.0,0.066666667,3,0.0,6
Feb,Returning_Visitor,False,False,0.0,0.025,8,0.0,1
Feb,Returning_Visitor,False,False,0.04,0.08,10,0.0,1
Feb,Returning_Visitor,False,False,0.014285714,0.028571429,14,0.0,1
Feb,Returning_Visitor,False,False,0.015384615,0.020352564,52,0.0,1
Feb,Returning_Visitor,True,False,0.025,0.05625,8,0.0,4
Feb,Returning_Visitor,False,False,0.0,0.028571429,5,0.0,4
Feb,Returning_Visitor,False,False,0.028571429,0.071428571,7,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.022222222,9,0.0,6
Feb,Returning_Visitor,False,False,0.0,0.001794872,46,0.0,4
Feb,Returning_Visitor,False,False,0.0,0.066666667,3,0.0,2
Feb,Returning_Visitor,False,False,0.0,0.006666667,15,0.0,4
Feb,Returning_Visitor,False,False,0.0,0.05,2,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.05,4,0.0,3
Feb,Returning_Visitor,False,False,0.003030303,0.006060606,22,0.0,4
Feb,Returning_Visitor,False,False,0.017142857,0.057142857,14,0.0,2
Feb,Returning_Visitor,False,False,0.066666667,0.133333333,3,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.003636364,11,0.0,3
Feb,Returning_Visitor,False,False,0.2,0.2,1,0.0,2
Feb,Returning_Visitor,True,False,0.2,0.2,1,0.0,4
Feb,Returning_Visitor,False,False,0.011111111,0.026111111,12,0.0,3
Feb,Returning_Visitor,True,False,0.0,0.1,2,0.0,2
Feb,Returning_Visitor,False,False,0.0,0.075,4,0.0,3
Feb,Returning_Visitor,False,False,0.05,0.025,4,0.0,4
Feb,Returning_Visitor,False,False,0.2,0.2,1,0.0,3
Feb,Returning_Visitor,False,False,0.2,0.2,1,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.014736467,36,19.44707913,1
Feb,Returning_Visitor,False,False,0.0,0.05,4,0.0,3
Feb,Returning_Visitor,False,False,0.011764706,0.046568627,16,0.0,1
Feb,Returning_Visitor,False,False,0.0,0.016666667,6,0.0,3
Feb,Returning_Visitor,False,False,0.05,0.120833333,8,0.0,3
Feb,Returning_Visitor,False,False,0.009,0.019666667,42,38.30849268,2
Feb,Returning_Visitor,True,False,0.0,0.007142857,14,0.0,4
Feb,Returning_Visitor,False,False,0.2,0.2,1,0.0,3
Feb,Returning_Visitor,False,True,0.0,0.012643678,27,22.9160357,1
Feb,Returning_Visitor,False,False,0.002150538,0.015013034,90,0.0,3
Feb,Returning_Visitor,False,False,0.2,0.2,1,0.0,1
Feb,Returning_Visitor,False,False,0.0,0.007407407,18,0.0,4
Feb,Returning_Visitor,False,False,0.2,0.2,1,0.0,3
Feb,Returning_Visitor,False,False,0.2,0.2,1,0.0,2
Feb,Returning_Visitor,False,False,0.025,0.0525,20,0.0,1
Feb,Returning_Visitor,False,False,0.0,0.1,2,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.0125,8,0.0,2
Feb,Returning_Visitor,False,False,0.0,0.066666667,3,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.025,16,0.0,1
Feb,Returning_Visitor,False,True,0.004347826,0.014492754,36,11.43941195,2
Feb,Returning_Visitor,False,False,0.0,0.05,2,0.0,3
Feb,Returning_Visitor,True,False,0.2,0.2,1,0.0,3
Feb,Returning_Visitor,False,False,0.2,0.2,1,0.0,3
Feb,Returning_Visitor,True,False,0.0,0.028571429,7,0.0,5
Feb,Returning_Visitor,False,False,0.0,0.016666667,4,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.02,6,0.0,3
Feb,Returning_Visitor,False,False,0.016666667,0.058333333,12,0.0,1
Feb,Returning_Visitor,True,False,0.2,0.2,1,0.0,1
Feb,Returning_Visitor,False,False,0.2,0.2,1,0.0,3
Feb,Returning_Visitor,False,False,0.057142857,0.085714286,7,0.0,1
Feb,Returning_Visitor,False,False,0.0,0.066666667,3,0.0,3
Feb,Returning_Visitor,False,False,0.028571429,0.023809524,7,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.007894737,19,0.0,2
Feb,Returning_Visitor,False,False,0.0,0.011764706,15,0.0,3
Feb,Returning_Visitor,True,False,0.2,0.2,1,0.0,2
Feb,Returning_Visitor,False,False,0.0,0.1,2,0.0,3
Feb,New_Visitor,False,False,0.0,0.015384615,13,0.0,5
Feb,Returning_Visitor,False,False,0.003703704,0.025925926,27,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.1,2,0.0,3
Feb,Returning_Visitor,False,False,0.05,0.066666667,6,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.025,4,0.0,4
Feb,Returning_Visitor,False,False,0.038095238,0.080952381,7,0.0,7
Feb,Returning_Visitor,False,False,0.004166667,0.031666667,16,0.0,4
Feb,Returning_Visitor,False,False,0.0,0.008947368,38,0.0,2
Feb,Returning_Visitor,True,True,0.0,0.026984127,19,17.53595893,4
Feb,Returning_Visitor,False,False,0.0,0.033333333,6,0.0,2
Feb,Returning_Visitor,False,False,0.0,0.01351025,36,0.0,3
Feb,Returning_Visitor,False,False,0.007058824,0.017647059,17,0.0,4
Feb,Returning_Visitor,False,False,0.15,0.15,2,0.0,2
Feb,Returning_Visitor,False,False,0.044444444,0.074074074,9,0.0,3
Feb,Returning_Visitor,False,False,0.05,0.066666667,12,0.0,3
Feb,Returning_Visitor,False,False,0.05,0.066666667,2,0.0,3
Feb,Returning_Visitor,False,False,0.000854701,0.01791847,128,0.0,3
Feb,Returning_Visitor,False,False,0.0,0.016666667,4,0.0,3
Feb,Returning_Visitor,False,False,0.2,0.2,4,0.0,3
Feb,Returning_Visitor,False,False,0.2,0.2,1,0.0,3
Feb,Returning_Visitor,False,False,0.008,0.024,25,0.0,1
Feb,Returning_Visitor,False,False,0.012903226,0.035483871,30,0.0,3
Feb,Returning_Visitor,True,False,0.0,0.005555556,12,0.0,4
Feb,Returning_Visitor,False,False,0.0,0.012962963,21,0.0,3
Feb,Returning_Visitor,False,False,0.018181818,0.027272727,11,0.0,1
